Entry	Mass	Gene Names (ordered locus)	Subunit structure	Subcellular location [CC]
P0AC69	12879	b1654 JW1646	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19505088}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15833738}.
P0AC75	47291	b3633 JW3608		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:1577828}; Single-pass membrane protein {ECO:0000305|PubMed:1577828}; Cytoplasmic side {ECO:0000305|PubMed:1577828}.
P0AC78	40957	b3784 JW3758		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_02030, ECO:0000269|PubMed:11700352, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:17237164}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_02030}. Note=Localizes to discrete regions in the plasma membrane. {ECO:0000269|PubMed:17237164}.
P0AC81	14920	b1651 JW1643	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10913283}.	
P0AC84	28434	b0212 JW0202	SUBUNIT: Monomer. {ECO:0000269|PubMed:17196158}.	
P0AC88	42047	b2053 JW2038	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10673432}.	
P0AC98	20071	b0010 JW0009		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0ACB0	52390	b4052 JW4012	SUBUNIT: Homohexamer.	
P0ACB2	35625	b0369 JW0361	SUBUNIT: Homooctamer. {ECO:0000269|PubMed:10194344, ECO:0000269|PubMed:11444968, ECO:0000269|PubMed:11909869, ECO:0000269|PubMed:8439296}.	
P0ACB4	21226	b3850 JW3827	SUBUNIT: Homotetramer (Probable). Homohexamer. Purified from membrane fractions associated with fumarate reductase (subunit FrdA) (PubMed:20484676). {ECO:0000269|PubMed:20484676, ECO:0000305|PubMed:19583219}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00853, ECO:0000305|PubMed:20484676}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00853, ECO:0000305|PubMed:20484676}.
P0ACC1	30975	b1212 JW1203	SUBUNIT: Interacts with PrfA and PrfB. {ECO:0000269|PubMed:15223314, ECO:0000269|PubMed:16364916}.	
P0ACC3	12100	b0156 JW0152	SUBUNIT: Homodimer. {ECO:0000305}.	
P0ACC7	49190	b3730 JW3708	SUBUNIT: Homotrimer. In vivo forms a hexameric aggregate. {ECO:0000269|PubMed:10428949, ECO:0000269|PubMed:11329257, ECO:0000269|PubMed:17473010, ECO:0000269|PubMed:21984832, ECO:0000269|PubMed:22297115}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01631, ECO:0000269|PubMed:10428949}.
P0ACD4	13849	b2529 JW2513	SUBUNIT: Homodimer. Forms a heterotetramer with IscS; each subunit of the IscS dimer contacts an IscU monomer. {ECO:0000269|PubMed:11577100, ECO:0000269|PubMed:22203963}.	
P0ACD8	66253	b0973 JW0955	SUBUNIT: Heterodimer of a large and a small subunit.	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein.
P0ACE0	62491	b2994 JW2962	SUBUNIT: Heterodimer of a large and a small subunit.	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein.
P0ACE3	8628	b0460 JW0449	SUBUNIT: Forms a heterotrimeric complex with the H-NS dimer in the absence of DNA. {ECO:0000269|PubMed:10778755, ECO:0000269|PubMed:11790731, ECO:0000269|PubMed:16650431, ECO:0000269|PubMed:21600204, ECO:0000269|PubMed:26085102}.	
P0ACE7	13241	b1103 JW1089	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15703176, ECO:0000269|PubMed:20934431}.	
P0ACF0	9535	b4000 JW3964	SUBUNIT: Heterodimer of an alpha and a beta chain. {ECO:0000269|PubMed:227733}.	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:21903814}. Note=Scattered throughout the nucleoid (PubMed:21903814). {ECO:0000269|PubMed:21903814}.
P0ACF4	9226	b0440 JW0430	SUBUNIT: Heterodimer of an alpha and a beta chain. {ECO:0000269|PubMed:227733}.	
P0ACF8	15540	b1237 JW1225	SUBUNIT: Homodimer, also found as tetramers or higher oligomers (PubMed:4566454, PubMed:338303, PubMed:3135462, PubMed:8913298, PubMed:9398522, PubMed:8755860, PubMed:12460581, PubMed:23601147). Oligomerizes into higher-order complexes that form bridges between adjacent DNA helices. The N-terminal region (residues 1-64) can interact with overexpressed StpA (PubMed:8755860). Forms a complex with Cnu (YdgT) (PubMed:21600204). The H-NS dimer forms a heterotrimeric complex with Hha in the absence of DNA; this is mediated by residues 1-46 (PubMed:21600204, PubMed:11790731, PubMed:16650431, PubMed:26085102). Interacts with Hfq (PubMed:2020545). {ECO:0000269|PubMed:11790731, ECO:0000269|PubMed:16650431, ECO:0000269|PubMed:2020545, ECO:0000269|PubMed:21600204, ECO:0000269|PubMed:23601147, ECO:0000269|PubMed:26085102, ECO:0000269|PubMed:3135462, ECO:0000269|PubMed:338303, ECO:0000269|PubMed:4566454, ECO:0000269|PubMed:8755860, ECO:0000269|PubMed:8913298, ECO:0000269|PubMed:9398522, ECO:0000305|PubMed:12460581}.	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:21903814, ECO:0000269|PubMed:333393}. Note=Forms 2 compact clusters per chromosome, located at one-quarter and three-quarter positions on the cell's long axis: 2 H-NS-repressed genes were closely associated with H-NS clusters while a non-H-NS-repressed gene was not substantially associated with the H-NS cluster (PubMed:21903814). {ECO:0000269|PubMed:21903814}.
P0ACG1	15348	b2669 JW2644	SUBUNIT: When overexpressed forms homodimers, can interact with the N-terminus (residues 1-64) of H-NS (PubMed:8755860). May interact with Hha and/or Cnu. {ECO:0000269|PubMed:8755860, ECO:0000305}.	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:21903814}. Note=Scattered throughout the nucleoid (PubMed:21903814). {ECO:0000269|PubMed:21903814}.
P0ACG8	15496	b3400 JW3363	SUBUNIT: Monomer.	
P0ACJ0	18887	b0889 JW0872	SUBUNIT: Homodimer.	
P0ACJ8	23640	b3357 JW5702	SUBUNIT: Homodimer, which upon binding cAMP is able to bind DNA. AR1 of the upstream subunit binds to the C-terminus of RNAP subunit RpoA, AR2 of the downstream subunit binds to the N-terminus of RpoA while AR3 binds to sigma-70 (rpoD) (PubMed:11124031, PubMed:12202833, PubMed:1646077, PubMed:1653449, PubMed:19359484, PubMed:19805344, PubMed:19903881, PubMed:2828639, PubMed:2839152, PubMed:6286624, PubMed:8757802, PubMed:8978616, PubMed:9096308, Ref.44). Interacts with SpfP (PubMed:35239441). {ECO:0000269|PubMed:11124031, ECO:0000269|PubMed:12202833, ECO:0000269|PubMed:1646077, ECO:0000269|PubMed:1653449, ECO:0000269|PubMed:19359484, ECO:0000269|PubMed:19805344, ECO:0000269|PubMed:19903881, ECO:0000269|PubMed:2828639, ECO:0000269|PubMed:2839152, ECO:0000269|PubMed:35239441, ECO:0000269|PubMed:6286624, ECO:0000269|PubMed:8757802, ECO:0000269|PubMed:8978616, ECO:0000269|PubMed:9096308, ECO:0000269|Ref.44}.	
P0ACN4	29270	b0506 JW0494	SUBUNIT: Homotetramer and homodimer. Homotetramer in its active, DNA-bound form. Homodimer in its inactive form. {ECO:0000269|PubMed:16546208}.	
P0ACP7	38175	b1658 JW1650	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11781089, ECO:0000269|PubMed:1400170, ECO:0000269|PubMed:7973627, ECO:0000269|PubMed:9278422, ECO:0000269|PubMed:9628480, ECO:0000269|Ref.17}.	
P0ACQ4	34276	b3961 JW3933	SUBUNIT: Homodimer and homotetramer.	
P0ACV0	35407	b1054 JW1041	SUBUNIT: Monomer. {ECO:0000269|PubMed:18656959}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01942, ECO:0000269|PubMed:1846149, ECO:0000269|PubMed:18656959, ECO:0000269|PubMed:8662613}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01942}.
P0ACV6	26558	b1326 JW1319	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_02211, ECO:0000269|PubMed:22970852}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02211, ECO:0000305|PubMed:12511517}.
P0AD14	62092	b2126 JW5353	SUBUNIT: Interacts with BtsT and YhjX. {ECO:0000269|PubMed:24659770}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P0AD49	12785	b2597 JW2578	SUBUNIT: Associates mainly with 70S ribosomes (PubMed:11168583, PubMed:11375931). Localized at the surface of the 30S ribosomal subunit, at the interface with the 50S subunit (PubMed:10535924, PubMed:15502846, PubMed:22605777). Binds across the channel in the 30S subunit where tRNAs and mRNA interact during protein biosynthesis (PubMed:15502846, PubMed:22605777). Can also associate with 100S ribosomes, which are inactive dimers of 70S ribosomes (PubMed:11168583). Contacts modifed methylated residues of 16S rRNA (in complex with T.thermophilus ribosome, 2/3 residues are also modified in E.coli) (PubMed:25775268). {ECO:0000269|PubMed:10535924, ECO:0000269|PubMed:11168583, ECO:0000269|PubMed:11375931, ECO:0000269|PubMed:15502846, ECO:0000269|PubMed:22605777, ECO:0000269|PubMed:25775268, ECO:0000269|PubMed:26792896}.	
P0AD57	35217	b3187 JW3154		
P0AD59	16872	b0220 JW0210	SUBUNIT: Homodimer.	SUBCELLULAR LOCATION: Periplasm.
P0AD61	50729	b1676 JW1666	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:10751408, ECO:0000269|PubMed:27050130, ECO:0000269|PubMed:8591049}.	
P0AD65	70857	b0635 JW0630		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_02081, ECO:0000269|PubMed:1103132, ECO:0000269|PubMed:3009484}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_02081}. Note=Localizes preferentially in the lateral wall and at mid-cell in comparison with the old cell pole. Localization at mid-cell is dependent on active FtsI. {ECO:0000269|PubMed:12519203}.
P0AD68	63877	b0084 JW0082	SUBUNIT: Homodimer (PubMed:20847002). Forms a complex with FtsW (PubMed:20847002). Interacts with FtsQ (PubMed:17185541). {ECO:0000269|PubMed:17185541, ECO:0000269|PubMed:20847002}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_02080, ECO:0000269|PubMed:2677607, ECO:0000269|PubMed:9614966}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_02080, ECO:0000269|PubMed:2677607, ECO:0000269|PubMed:9614966}; Periplasmic side {ECO:0000269|PubMed:2677607, ECO:0000269|PubMed:9614966}. Note=The bulk of the molecule, except for the N-terminal membrane anchor region, protrudes into the periplasmic space (PubMed:2677607, PubMed:9614966). Localizes to the division septum during the later stages of cell growth and throughout septation (PubMed:9379897, PubMed:9603865, PubMed:9882665, PubMed:15601716). Localization is dependent on FtsZ, FtsA, FtsK, FtsQ, FtsL and FtsW, but not on FtsN (PubMed:9603865, PubMed:9882665, PubMed:11703663, PubMed:11807049). {ECO:0000269|PubMed:11703663, ECO:0000269|PubMed:11807049, ECO:0000269|PubMed:15601716, ECO:0000269|PubMed:2677607, ECO:0000269|PubMed:9379897, ECO:0000269|PubMed:9603865, ECO:0000269|PubMed:9614966, ECO:0000269|PubMed:9882665}.
P0AD70	41849	b0376 JW5052		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:22001512}.
P0AD99	46209	b0401 JW0391		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P0ADA1	23622	b0494 JW0483	SUBUNIT: Monomer or homotetramer. {ECO:0000269|PubMed:12842470, ECO:0000269|PubMed:1864840, ECO:0000269|PubMed:4554913, ECO:0000269|PubMed:791643, ECO:0000269|PubMed:8098033}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:8098033, ECO:0000269|PubMed:8432696}.
P0ADA3	40149	b2742 JW2712		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}. Note=Localizes at the septal ring. {ECO:0000269|PubMed:19525345}.
P0ADC1	21357	b0641 JW0636	SUBUNIT: Component of the lipopolysaccharide transport and assembly complex. Interacts with LptD. May interact with LptD during its assembly by the beta-barrel assembly machine. Directly contacts LptD at a wide range of positions, encompassing multiple surfaces of LptE. In one specific interaction, LptE contacts a predicted extracellular loop of LptD through the lumen of the beta-barrel. This specific interaction is required for proper folding of LptD and assembly of the complex. {ECO:0000255|HAMAP-Rule:MF_01186, ECO:0000269|PubMed:16861298, ECO:0000269|PubMed:20203010, ECO:0000269|PubMed:21257904, ECO:0000269|PubMed:21257909}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_01186, ECO:0000269|PubMed:20446753, ECO:0000269|PubMed:21257904, ECO:0000269|PubMed:3316191}; Lipid-anchor {ECO:0000255|HAMAP-Rule:MF_01186, ECO:0000269|PubMed:20446753, ECO:0000269|PubMed:21257904, ECO:0000269|PubMed:3316191}. Note=A substantial portion is found inside the LptD beta-barrel.
P0ADE4	64796	b4220 JW4179	SUBUNIT: Interacts with TamB to form the translocation and assembly module (TAM). {ECO:0000269|PubMed:22466966, ECO:0000269|PubMed:24056943, ECO:0000269|PubMed:26243377}.	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:16522795, ECO:0000269|PubMed:17214547, ECO:0000269|PubMed:22466966, ECO:0000269|PubMed:25341963}.
P0ADG4	29172	b2533 JW2517	SUBUNIT: Monomer (PubMed:10747806, PubMed:31127279). A monomer-dimer equilibrium (PubMed:17652087). Homodimer (PubMed:31020314, PubMed:32871103). The rRNA transcription and antitermination complex (rrnTAC) consists of RNA polymerase (RNAP), NusA, NusB, NusE (rpsJ), NusG, SubB, ribosomal protein S4, DNA and precursor rRNA; S4 is more flexible than other subunits (PubMed:31127279, PubMed:31020314, PubMed:32871103). Binds to RNAP, which decreases IMPase activity against 1D-myo-inositol 1-phosphate (PubMed:17652087) (Probable). Association with rRNA gene-transcribing RNAP is dependent on NusB (PubMed:26980831, PubMed:29229908). Interacts with AR2 domain of NusA; crystallizes as a 2:1 SuhB:NusA heterotrimer (PubMed:31020314, PubMed:31127279). {ECO:0000269|PubMed:10747806, ECO:0000269|PubMed:17652087, ECO:0000269|PubMed:26980831, ECO:0000269|PubMed:29229908, ECO:0000269|PubMed:31020314, ECO:0000269|PubMed:31127279, ECO:0000269|PubMed:32871103, ECO:0000305|PubMed:31127279}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:10747806}.
P0ADG7	52022	b2508 JW5401	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_01964, ECO:0000269|PubMed:9341229}.	
P0ADI4	32554	b0595 JW0587	SUBUNIT: Proteins EntB, EntD, EntE, and EntF form a multienzyme complex called enterobactin synthase. Homodimer (PubMed:16632253). Also forms a specific pairwise interaction with EntC; this interaction likely facilitates substrate channeling to connect the EntB and EntC active sites (PubMed:35952947). {ECO:0000269|PubMed:16632253, ECO:0000269|PubMed:2139796, ECO:0000269|PubMed:22365602, ECO:0000269|PubMed:35952947, ECO:0000269|PubMed:9485415}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10692387}.
P0ADL1	41842	b3662 JW5938		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01189, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
P0ADP0	27122	b3812 JW3785		
P0ADP2	17163	b3820 JW5588		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:35876515}.
P0ADR8	50972	b2795 JW2766		
P0ADS2	12594	b2910 JW2878	SUBUNIT: Homodimer. Interacts with FtsZ. {ECO:0000269|PubMed:15317782, ECO:0000269|PubMed:17428494}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12368265}. Note=Localizes at mid-cell.
P0ADV1	20127	b3200 JW3167	SUBUNIT: Component of the lipopolysaccharide transport and assembly complex. Can form head-to-tail homodimers and oligomers. Interacts with LptC, LptD and with the lipid A domain of LPS. {ECO:0000255|HAMAP-Rule:MF_01914, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:18480051, ECO:0000269|PubMed:18534617, ECO:0000269|PubMed:20446753, ECO:0000269|PubMed:21169485, ECO:0000269|PubMed:21195693, ECO:0000269|PubMed:22668317, ECO:0000269|PubMed:25735820}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000255|HAMAP-Rule:MF_01914, ECO:0000269|PubMed:17056748, ECO:0000269|PubMed:18480051, ECO:0000269|PubMed:20446753}. Note=Associates with both the inner membrane and the outer membrane.
P0ADV9	21703	b3199 JW3166	SUBUNIT: Component of the lipopolysaccharide transport and assembly complex. Interacts with LptA and the LptBFG transporter complex. When overexpressed, can form homodimers in vivo. {ECO:0000255|HAMAP-Rule:MF_01915, ECO:0000269|PubMed:19500581, ECO:0000269|PubMed:20446753, ECO:0000269|PubMed:21169485, ECO:0000269|PubMed:21195693, ECO:0000269|PubMed:22668317}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01915, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:20720015}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01915, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:20720015}.
P0ADY1	68150	b0441 JW0431	SUBUNIT: Interacts with the SecYEG translocon (PubMed:24951590, PubMed:29097228, PubMed:31699901). Binds to the lateral gate of SecY (PubMed:24951590, PubMed:31699901). Forms a complex with YfgM (PubMed:21210718, PubMed:24855643, PubMed:31699901). Also interacts with YidC (PubMed:31699901). Interacts with peptide substrates and misfolded proteins (PubMed:18498364, PubMed:19866485). Has been isolated as a homodimer and homotrimer from inner membrane preparations (PubMed:16079137). {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:18498364, ECO:0000269|PubMed:19866485, ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:24855643, ECO:0000269|PubMed:24951590, ECO:0000269|PubMed:29097228, ECO:0000269|PubMed:31699901}.; SUBUNIT: (Microbial infection) Interacts with the central spike complex of bacteriophage T4. {ECO:0000269|PubMed:33036312}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:16079137, ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:9670013}; Single-pass type II membrane protein {ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:9670013}; Periplasmic side {ECO:0000269|PubMed:21210718, ECO:0000269|PubMed:9670013}. Note=Located at the lateral gate of SecY. {ECO:0000269|PubMed:24951590}.
P0ADY3	13541	b3310 JW3272	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:352727, PubMed:7556101, PubMed:2665813, PubMed:10094780, PubMed:10756104, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Contacts L19 (PubMed:2665813, PubMed:16272117). Forms two bridges to the 30S subunit in the 70S ribosome, contacting the 16S rRNA. Can also contact RsfS, which then probably inhibits ribosomal subunit association. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:10756104, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:151587, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:2665813, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:352727, ECO:0000269|PubMed:7556101}.	
P0ADY7	15281	b3313 JW3275	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:786730, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Cross-links to the A and P site tRNAs (PubMed:8524654). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:786730, ECO:0000269|PubMed:8524654}.	
P0ADZ0	11199	b3318 JW3280	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:391594, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:21499241, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Contacts protein L29 and trigger factor. Might also contact SecE and probably does contact SecG and SecY when the SecYEG translocation complex is docked with the ribosome (PubMed:16292303). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12226666, ECO:0000269|PubMed:12756233, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:16292303, ECO:0000269|PubMed:21499241, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:2665813, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000305|PubMed:16292303}.	
P0ADZ4	10269	b3165 JW3134	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:776686, PubMed:10094780, PubMed:12244297, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:27906160, PubMed:27906161). Forms a bridge to the 50S subunit in the 70S ribosome, contacting the 23S rRNA (PubMed:12809609, PubMed:16272117). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:776686}.	
P0AE01	27048	b2532 JW2516	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16848900, ECO:0000269|PubMed:24951554, ECO:0000269|PubMed:26202969}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AE06	42197	b0463 JW0452	SUBUNIT: Monomeric in solution. Homotrimeric; interacts independently with AcrB and TolC as well as AcrZ. Part of the AcrA-AcrB-TolC efflux pump. Complex assembly is independent of an efflux substrate and appears to be constitutive. {ECO:0000269|PubMed:10920254, ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:23010927, ECO:0000269|PubMed:9878415}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303, ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}. Note=An unlipidated version of this protein (directed to the periplasm by the OmpA signal sequence) functions normally.
P0AE08	20761	b0605 JW0598	SUBUNIT: Homodimer; disulfide-linked, upon oxidation. 5 homodimers assemble to form a ring-like decamer (PubMed:7499381). {ECO:0000269|PubMed:7499381}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7499381}.
P0AE12	53995	b1982 JW1963	SUBUNIT: Homohexamer. Trimer of dimers. {ECO:0000269|PubMed:15296732}.	
P0AE18	29331	b0168 JW0163	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01974, ECO:0000269|PubMed:10387007, ECO:0000269|PubMed:16769889}.	
P0AE22	26104	b4055 JW4015	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:14687572, ECO:0000269|PubMed:16330049, ECO:0000269|PubMed:18845157, ECO:0000269|PubMed:9011040}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:9011040}.
P0AE24	51684	b2841 JW2809		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:2836407, ECO:0000269|PubMed:7030324}; Multi-pass membrane protein {ECO:0000255}.
P0AE52	17634	b2480 JW2465	SUBUNIT: Monomer. {ECO:0000269|PubMed:21910476}.	
P0AE67	14097	b1882 JW1871	SUBUNIT: Interacts (phosphorylated CheY) with CheZ (via C-terminus). {ECO:0000269|PubMed:12080332, ECO:0000269|PubMed:9437425}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AE70	12098	b2782 JW2753	SUBUNIT: Probably a dimer. Forms a heterohexamer composed of alternating toxin and antitoxin homodimers MazF(2)-MazE(2)-MazF(2). The binding site of MazE and ssRNA or ssDNA are largely overlapping; the presence of only 1 MazE molecule inhibits mRNA endoribonuclease activity. Binds to EDF but not a mutated EDF (NNGNN) (PubMed:21419338). {ECO:0000269|PubMed:11071896, ECO:0000269|PubMed:12718874, ECO:0000269|PubMed:21419338, ECO:0000269|PubMed:25564525, ECO:0000269|PubMed:8650219}.	
P0AE72	9356	b2783 JW2754	SUBUNIT: Probably forms a homodimer in the absence of MazF; binds DNA as a homodimer (PubMed:25564525, PubMed:12533537). Forms a heterohexamer composed of alternating toxin and antitoxin homodimers MazF(2)-MazE(2)-MazF(2). {ECO:0000269|PubMed:11071896, ECO:0000269|PubMed:12533537, ECO:0000269|PubMed:12718874, ECO:0000269|PubMed:12743116, ECO:0000269|PubMed:25564525, ECO:0000269|PubMed:8650219}.	
P0AE82	51624	b3911 JW3882	SUBUNIT: The isolated cytoplasmic domain (residues 188-457) crystallizes as a homodimer, and forms dimers of dimers in solution which may be catalytically important (PubMed:24492262). Interacts with periplasmic accessory protein CpxP (PubMed:16166523, PubMed:21317318, PubMed:21239493, PubMed:25207645); interaction with CpxP is not seen in vivo when cells are grown in 0.3 M NaCl, or if the misfolded P pili protein PapE is overexpressed (PubMed:25207645). Interacts with cognate response regulator CpxR (PubMed:25207645). {ECO:0000269|PubMed:24492262, ECO:0000269|PubMed:25207645, ECO:0000305|PubMed:16166523}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:25207645, ECO:0000269|PubMed:3058985}; Multi-pass membrane protein {ECO:0000305|PubMed:15919996, ECO:0000305|PubMed:3058985}.
P0AE85	18965	b4484 JW5558	SUBUNIT: Homodimer; it might alter shape slightly at pH 8.0 when Cpx is induced (PubMed:21317318, PubMed:21239493). Binds the periplasmic sensor domain of CpxA (PubMed:16166523, PubMed:21317318, PubMed:21239493, PubMed:25207645). Interaction with CpxA is not seen in vivo when cells are grown in 0.3 M NaCl, or if the misfolded P pili protein PapE is overexpressed (PubMed:25207645). {ECO:0000269|PubMed:21239493, ECO:0000269|PubMed:21317318, ECO:0000269|PubMed:25207645, ECO:0000305|PubMed:16166523}.	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:25207645, ECO:0000269|PubMed:9473036}.
P0AE88	26312	b3912 JW3883	SUBUNIT: Interacts with cognate sensor kinase CpxA. {ECO:0000269|PubMed:25207645}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AEA8	49951	b3368 JW3331	SUBUNIT: Monomer. {ECO:0000269|PubMed:2407234}.	
P0AEB2	44444	b0632 JW0627		SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. Note=N-terminal lies in the periplasmic space.
P0AEC3	87983	b3210 JW5536		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0AEC5	102453	b2786 JW2757		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.
